term	before	after	delta
aapropensity	-360.238660	197.005720	557.244380
dunbrack	449.507587	456.504357	6.996770
interD_deslvH	-362.233517	-362.073487	0.160031
interD_deslvP	475.905322	476.519269	0.613947
interD_electr	-110.871088	-112.430478	-1.559390
interD_hbbbbb_dis	0.000000	0.000000	0.000000
interD_hbbbbb_phi	0.000000	0.000000	0.000000
interD_hbbbbb_the	0.000000	0.000000	0.000000
interD_hbscbb_dis	-23.472186	-25.987385	-2.515199
interD_hbscbb_phi	-9.654448	-10.888609	-1.234160
interD_hbscbb_the	-12.574909	-13.741612	-1.166703
interD_hbscsc_dis	-46.028806	-47.960513	-1.931707
interD_hbscsc_phi	-0.000000	-0.000000	0.000000
interD_hbscsc_the	-21.969297	-23.675247	-1.705950
interD_ssbond	0.000000	0.000000	0.000000
interD_vdwatt	-829.208006	-828.782827	0.425179
interD_vdwrep	1673.005439	1663.027313	-9.978126
interS_deslvH	-3995.773014	-3991.859299	3.913716
interS_deslvP	6116.114790	6113.395246	-2.719544
interS_electr	-785.414097	-780.411422	5.002675
interS_hbbbbb_dis	-926.719587	-926.733914	-0.014327
interS_hbbbbb_phi	-967.857045	-967.853203	0.003843
interS_hbbbbb_the	-686.596367	-686.575633	0.020735
interS_hbscbb_dis	-164.910476	-160.827189	4.083287
interS_hbscbb_phi	-37.212998	-36.173304	1.039694
interS_hbscbb_the	-124.476914	-120.035648	4.441266
interS_hbscsc_dis	-111.853820	-109.870119	1.983701
interS_hbscsc_phi	-0.000000	-0.000000	0.000000
interS_hbscsc_the	-37.942552	-36.237150	1.705403
interS_ssbond	0.000000	0.000000	0.000000
interS_vdwatt	-10674.226984	-10659.549955	14.677029
interS_vdwrep	6851.791641	6679.961164	-171.830477
intraR_deslvH	-30.015195	-30.009197	0.005998
intraR_deslvP	0.000000	0.000000	0.000000
intraR_electr	-3.802411	-3.779446	0.022965
intraR_hbscbb_dis	-17.642769	-18.261861	-0.619092
intraR_hbscbb_phi	-0.000000	-0.000000	0.000000
intraR_hbscbb_the	-1.682138	-1.683229	-0.001091
intraR_vdwatt	-352.557256	-352.782377	-0.225120
intraR_vdwrep	6678.038748	6591.852169	-86.186579
prolig_deslvH	-5.238975	0.000000	5.238975
prolig_deslvP	19.972274	0.000000	-19.972274
prolig_electr	0.000000	0.000000	0.000000
prolig_hbscbb_dis	0.000000	0.000000	0.000000
prolig_hbscbb_phi	0.000000	0.000000	0.000000
prolig_hbscbb_the	0.000000	0.000000	0.000000
prolig_hbscsc_dis	-1.425537	0.000000	1.425537
prolig_hbscsc_phi	-1.645892	0.000000	1.645892
prolig_hbscsc_the	-3.215903	0.000000	3.215903
prolig_vdwatt	-26.061273	0.000000	26.061273
prolig_vdwrep	20.588365	0.000000	-20.588365
ramachandran	5706.204840	6886.242720	1180.037880
reference_ALA	-62.016000	-62.016000	0.000000
reference_ARG	-105.760000	-105.760000	0.000000
reference_ASN	-94.820000	-94.820000	0.000000
reference_ASP	-73.784000	-73.784000	0.000000
reference_CYS	-0.888000	-0.888000	0.000000
reference_GLN	-69.696000	-69.696000	0.000000
reference_GLU	-171.500000	-171.500000	0.000000
reference_GLY	-259.532000	-259.532000	0.000000
reference_HIS	-8.260000	-8.260000	0.000000
reference_ILE	195.720000	195.720000	0.000000
reference_LEU	212.916000	212.916000	0.000000
reference_LYS	-150.000000	-150.000000	0.000000
reference_MET	33.396000	33.396000	0.000000
reference_PHE	57.036000	57.036000	0.000000
reference_PRO	-23.292000	-23.292000	0.000000
reference_SER	-63.296000	-63.296000	0.000000
reference_THR	-26.624000	-26.624000	0.000000
reference_TRP	72.144000	72.144000	0.000000
reference_TYR	44.800000	44.800000	0.000000
reference_VAL	156.400000	156.400000	0.000000
total	6921.550883	8419.268856	1497.717973
