term	initial	best	delta
aapropensity	-180.119330	-180.119330	0.000000
dunbrack	449.507587	449.507587	0.000000
interD_deslvH	-362.233517	-361.923167	0.310351
interD_deslvP	475.905322	475.202715	-0.702607
interD_electr	-110.871088	-112.123015	-1.251927
interD_hbbbbb_dis	0.000000	0.000000	0.000000
interD_hbbbbb_phi	0.000000	0.000000	0.000000
interD_hbbbbb_the	0.000000	0.000000	0.000000
interD_hbscbb_dis	-23.472186	-24.574204	-1.102018
interD_hbscbb_phi	-9.654448	-10.131569	-0.477121
interD_hbscbb_the	-12.574909	-13.127517	-0.552608
interD_hbscsc_dis	-46.028806	-46.149852	-0.121046
interD_hbscsc_phi	-0.000000	-0.000000	0.000000
interD_hbscsc_the	-21.969297	-22.836691	-0.867394
interD_ssbond	0.000000	0.000000	0.000000
interD_vdwatt	-829.208006	-827.627624	1.580382
interD_vdwrep	334.601088	345.442148	10.841060
interS_deslvH	-3995.773014	-3993.719590	2.053424
interS_deslvP	6116.114790	6116.225048	0.110258
interS_electr	-785.414097	-783.149905	2.264191
interS_hbbbbb_dis	-926.719587	-926.733914	-0.014327
interS_hbbbbb_phi	-967.857045	-967.853203	0.003843
interS_hbbbbb_the	-686.596367	-686.575633	0.020735
interS_hbscbb_dis	-164.910476	-163.841211	1.069265
interS_hbscbb_phi	-37.212998	-36.584102	0.628897
interS_hbscbb_the	-124.476914	-122.335883	2.141031
interS_hbscsc_dis	-111.853820	-112.695260	-0.841440
interS_hbscsc_phi	-0.000000	-0.000000	0.000000
interS_hbscsc_the	-37.942552	-37.305254	0.637299
interS_ssbond	0.000000	0.000000	0.000000
interS_vdwatt	-10674.226984	-10669.270497	4.956487
interS_vdwrep	2283.930547	2240.451888	-43.478659
intraR_deslvH	-30.015195	-30.021436	-0.006240
intraR_deslvP	0.000000	0.000000	0.000000
intraR_electr	-3.802411	-3.821304	-0.018893
intraR_hbscbb_dis	-17.642769	-18.875829	-1.233060
intraR_hbscbb_phi	-0.000000	-0.000000	0.000000
intraR_hbscbb_the	-1.682138	-1.683853	-0.001715
intraR_vdwatt	-352.557256	-352.718989	-0.161733
intraR_vdwrep	66.780387	66.715709	-0.064679
prolig_deslvH	0.000000	0.000000	0.000000
prolig_deslvP	0.000000	0.000000	0.000000
prolig_electr	0.000000	0.000000	0.000000
prolig_hbscbb_dis	0.000000	0.000000	0.000000
prolig_hbscbb_phi	0.000000	0.000000	0.000000
prolig_hbscbb_the	0.000000	0.000000	0.000000
prolig_hbscsc_dis	0.000000	0.000000	0.000000
prolig_hbscsc_phi	0.000000	0.000000	0.000000
prolig_hbscsc_the	0.000000	0.000000	0.000000
prolig_vdwatt	0.000000	0.000000	0.000000
prolig_vdwrep	0.000000	0.000000	0.000000
ramachandran	2853.102420	2853.102420	0.000000
reference_ALA	-62.016000	-62.016000	0.000000
reference_ARG	-105.760000	-105.760000	0.000000
reference_ASN	-94.820000	-94.820000	0.000000
reference_ASP	-73.784000	-73.784000	0.000000
reference_CYS	-0.888000	-0.888000	0.000000
reference_GLN	-69.696000	-69.696000	0.000000
reference_GLU	-171.500000	-171.500000	0.000000
reference_GLY	-259.532000	-259.532000	0.000000
reference_HIS	-8.260000	-8.260000	0.000000
reference_ILE	195.720000	195.720000	0.000000
reference_LEU	212.916000	212.916000	0.000000
reference_LYS	-150.000000	-150.000000	0.000000
reference_MET	33.396000	33.396000	0.000000
reference_PHE	57.036000	57.036000	0.000000
reference_PRO	-23.292000	-23.292000	0.000000
reference_SER	-63.296000	-63.296000	0.000000
reference_THR	-26.624000	-26.624000	0.000000
reference_TRP	72.144000	72.144000	0.000000
reference_TYR	44.800000	44.800000	0.000000
reference_VAL	156.400000	156.400000	0.000000
total	-8271.929073	-8296.207317	-24.278244
