term	initial	best	delta
aapropensity	-180.119330	-180.119330	0.000000
dunbrack	449.507587	449.507587	0.000000
interD_deslvH	-362.233517	-362.790824	-0.557307
interD_deslvP	475.905322	476.795515	0.890193
interD_electr	-110.871088	-109.567547	1.303541
interD_hbbbbb_dis	0.000000	0.000000	0.000000
interD_hbbbbb_phi	0.000000	0.000000	0.000000
interD_hbbbbb_the	0.000000	0.000000	0.000000
interD_hbscbb_dis	-23.472186	-24.928233	-1.456046
interD_hbscbb_phi	-9.654448	-10.419891	-0.765442
interD_hbscbb_the	-12.574909	-13.167125	-0.592216
interD_hbscsc_dis	-46.028806	-44.535329	1.493477
interD_hbscsc_phi	-0.000000	-0.000000	0.000000
interD_hbscsc_the	-21.969297	-22.778374	-0.809078
interD_ssbond	0.000000	0.000000	0.000000
interD_vdwatt	-829.208006	-828.856459	0.351547
interD_vdwrep	1673.005439	1993.796031	320.790592
interS_deslvH	-3995.773014	-3992.835202	2.937813
interS_deslvP	6116.114790	6113.783624	-2.331165
interS_electr	-785.414097	-780.897608	4.516489
interS_hbbbbb_dis	-926.719587	-926.733914	-0.014327
interS_hbbbbb_phi	-967.857045	-967.853203	0.003843
interS_hbbbbb_the	-686.596367	-686.575633	0.020735
interS_hbscbb_dis	-164.910476	-161.903735	3.006741
interS_hbscbb_phi	-37.212998	-36.361277	0.851722
interS_hbscbb_the	-124.476914	-120.380587	4.096327
interS_hbscsc_dis	-111.853820	-110.090505	1.763315
interS_hbscsc_phi	-0.000000	-0.000000	0.000000
interS_hbscsc_the	-37.942552	-36.484532	1.458020
interS_ssbond	0.000000	0.000000	0.000000
interS_vdwatt	-10674.226984	-10663.092217	11.134768
interS_vdwrep	6851.791641	6760.996628	-90.795013
intraR_deslvH	-30.015195	-30.008603	0.006593
intraR_deslvP	0.000000	0.000000	0.000000
intraR_electr	-3.802411	-3.831975	-0.029564
intraR_hbscbb_dis	-17.642769	-18.261861	-0.619092
intraR_hbscbb_phi	-0.000000	-0.000000	0.000000
intraR_hbscbb_the	-1.682138	-1.683229	-0.001091
intraR_vdwatt	-352.557256	-352.691380	-0.134124
intraR_vdwrep	6678.038748	6602.684059	-75.354689
prolig_deslvH	0.000000	0.000000	0.000000
prolig_deslvP	0.000000	0.000000	0.000000
prolig_electr	0.000000	0.000000	0.000000
prolig_hbscbb_dis	0.000000	0.000000	0.000000
prolig_hbscbb_phi	0.000000	0.000000	0.000000
prolig_hbscbb_the	0.000000	0.000000	0.000000
prolig_hbscsc_dis	0.000000	0.000000	0.000000
prolig_hbscsc_phi	0.000000	0.000000	0.000000
prolig_hbscsc_the	0.000000	0.000000	0.000000
prolig_vdwatt	0.000000	0.000000	0.000000
prolig_vdwrep	0.000000	0.000000	0.000000
ramachandran	2853.102420	2853.102420	0.000000
reference_ALA	-62.016000	-62.016000	0.000000
reference_ARG	-105.760000	-105.760000	0.000000
reference_ASN	-94.820000	-94.820000	0.000000
reference_ASP	-73.784000	-73.784000	0.000000
reference_CYS	-0.888000	-0.888000	0.000000
reference_GLN	-69.696000	-69.696000	0.000000
reference_GLU	-171.500000	-171.500000	0.000000
reference_GLY	-259.532000	-259.532000	0.000000
reference_HIS	-8.260000	-8.260000	0.000000
reference_ILE	195.720000	195.720000	0.000000
reference_LEU	212.916000	212.916000	0.000000
reference_LYS	-150.000000	-150.000000	0.000000
reference_MET	33.396000	33.396000	0.000000
reference_PHE	57.036000	57.036000	0.000000
reference_PRO	-23.292000	-23.292000	0.000000
reference_SER	-63.296000	-63.296000	0.000000
reference_THR	-26.624000	-26.624000	0.000000
reference_TRP	72.144000	72.144000	0.000000
reference_TYR	44.800000	44.800000	0.000000
reference_VAL	156.400000	156.400000	0.000000
total	4245.594733	4426.761294	181.166561
